Segment Start,Segment End,Time,x,y
15:35:10,15:35:26,11.31,180,140
15:35:10,15:35:26,11.38,180,100
15:35:10,15:35:26,11.77,140,100
15:35:10,15:35:26,11.84,100,100
15:35:10,15:35:26,11.91,60,100
15:35:10,15:35:26,11.97,20,100
15:35:10,15:35:26,12.24,20,140
15:35:10,15:35:26,12.3,20,180
15:35:10,15:35:26,13.16,20,220
15:35:10,15:35:26,13.23,20,260
15:35:10,15:35:26,13.63,60,260
15:35:10,15:35:26,13.69,100,260
15:35:10,15:35:26,14.02,100,300
15:35:10,15:35:26,14.09,100,340
15:35:10,15:35:26,14.15,100,380
15:35:10,15:35:26,14.22,100,420
15:35:10,15:35:26,14.29,100,460
15:35:10,15:35:26,14.35,100,500
15:35:10,15:35:26,14.55,140,500
15:35:10,15:35:26,14.62,180,500
15:35:10,15:35:26,14.88,180,540
15:35:10,15:35:26,14.95,180,580
15:35:10,15:35:26,15.61,140,580
15:35:10,15:35:26,15.68,100,580
15:35:10,15:35:26,15.74,60,580
15:35:26,15:35:42,0.07,20,580
15:35:26,15:35:42,0.4,60,580
15:35:26,15:35:42,0.46,100,580
15:35:26,15:35:42,0.53,140,580
15:35:26,15:35:42,0.59,180,580
15:35:26,15:35:42,0.99,180,540
15:35:26,15:35:42,1.06,180,500
15:35:26,15:35:42,1.32,140,500
15:35:26,15:35:42,1.39,100,500
15:35:26,15:35:42,1.72,100,460
15:35:26,15:35:42,1.79,100,420
15:35:26,15:35:42,1.85,100,380
15:35:26,15:35:42,2.25,100,340
15:35:26,15:35:42,2.31,100,300
15:35:26,15:35:42,2.38,100,260
15:35:26,15:35:42,2.58,60,260
15:35:26,15:35:42,2.65,20,260
15:35:26,15:35:42,3.04,20,220
15:35:26,15:35:42,3.11,20,180
15:35:26,15:35:42,3.17,20,140
15:35:26,15:35:42,3.24,20,100
15:35:26,15:35:42,3.64,60,100
15:35:26,15:35:42,3.7,100,100
15:35:26,15:35:42,3.77,140,100
15:35:26,15:35:42,3.84,180,100
15:35:26,15:35:42,4.3,180,140
15:35:26,15:35:42,4.37,180,180
15:35:26,15:35:42,4.43,180,220
15:35:26,15:35:42,5.43,180,260
15:35:26,15:35:42,6.81,180,300
15:35:26,15:35:42,6.88,180,340
15:35:26,15:35:42,6.95,180,380
15:35:26,15:35:42,7.01,180,420
15:35:26,15:35:42,7.21,220,420
15:35:26,15:35:42,7.28,260,420
15:35:26,15:35:42,7.74,220,420
